best_same_branch_fd_mixed_ratio,case,direction,discrete_gate_passed,fd_observed_orders,maximum_adjoint_jvp_absolute_difference,num_nodes,relative_physical_jvp_norm,same_branch_fd_step_count,scattered_objective_jvp,seconds,total_objective_jvp
8.263865221026921e-05,star,mixed,True,"[1.9999852742023232, 2.0152376045862264, -0.18720539538505224, -1.0901686768207874]",3.5561831257524545e-17,64,0.40886192771930513,5,0.0031179515857475753,0.5895476955920458,0.00017734279298622417
0.04952808642908437,star,tangential_phase,True,"[1.999961138532051, 0.22680709850522573, -1.1588342849074384, -0.8571540438666521]",1.9715537122532293e-16,64,4.961738787935845e-07,4,-4.8695792888182906e-11,0.5835292115807533,4.217144765837349e-12
0.004380230306737145,star,translation_x,True,"[2.000001722989769, 1.9120514726551694, -0.6688488057953088, -1.0164362705001497]",4.5102810375396984e-17,128,0.37622973828524914,5,0.007431003446406492,2.0276732509955764,0.00016848560677365927
0.01061584450140975,star,translation_y,True,"[1.9999866177004666, 1.977737269888029, -0.2558605641208642, -1.1237587288487363]",7.546047120499111e-17,128,0.18344601716421904,5,-0.003724529490112002,2.032538838684559,-7.495867405439507e-05
0.0001769579896673269,star,scale,True,"[1.9999804935323249, 1.991404665684106, -0.5094546682822679, -1.1134868820452268]",1.691355389077387e-17,128,0.46046063468282655,4,-0.003182967107459012,2.0189066724851727,-6.635967862843191e-05
6.690874477675165e-05,star,shape_mode4,True,"[2.000015739941062, 1.4614443096593313, -0.8731752734119987, -0.9303332114116206]",4.618701254788249e-17,128,0.13336511824857342,4,0.0012901608073065686,2.0197954988107085,2.30356934301725e-05
0.00017788960465478162,star,interior_epsr,True,"[2.0000165433095667, 2.0030465582151207, -0.2573767319481189, -0.8648794046288579]",5.898059818321144e-17,128,0.44315288346479953,5,0.00205789695342554,2.0203992631286383,3.816964897609794e-05
0.00019390720123207763,star,exterior_epsr,True,"[1.9999721343102703, 1.9996440398263182, 1.5757943206278062, -0.9247900028458291]",9.8879238130678e-17,128,2.6386284388308523,4,0.00469599135842258,2.020978594198823,0.0006350343411989053
0.00014315317329595704,star,mixed,True,"[1.999954488454582, 1.994516727221369, -0.41709065486791536, -0.8738781735814793]",1.1188966420050406e-16,128,0.4088619067707872,4,0.003117957739884129,2.018884046934545,0.00017734337751457263
0.12974539305298233,star,tangential_phase,True,"[-1.294104638745259, -1.0318427671604131, -0.8415664813092665, -1.103998964285255]",8.404882172914919e-16,128,3.4669961619135624e-13,4,-3.4679776338807243e-17,2.0172240920364857,-5.849909103473833e-18
