arm,bandwidth,bem_seconds,bem_solve_count,canonical_per_frequency_relative_field_error,case,conditioning_audit_seconds,conversion_seconds,failure_reason,gradient_calls,gradient_points,maximum_relative_field_error,maximum_system_condition,maximum_system_residual,nodes,per_frequency_relative_field_error,raw_geometry_m,returned_geometry_m,self_convergence_to_next_nodes,status,value_calls,value_points
shared_zero_method_b,4,0.02349658776074648,2,,circle_exact,0.0017935540527105331,0.14324059057980776,,4,372,2.7011489740971027e-11,4389.076825019163,2.0878866246060586e-15,64,"[1.4298292064581827e-12, 2.7011489740971027e-11]",,2.694671210804748e-13,3.2817932546386134e-14,success,7,4789
shared_zero_method_b,4,0.08168808557093143,2,,circle_exact,0.011104761622846127,0.14324059057980776,,4,372,2.7011084528942424e-11,4389.076825019131,5.974067148551019e-15,128,"[1.4300625778079512e-12, 2.7011084528942424e-11]",,2.694671210804748e-13,4.452946120239492e-14,success,7,4789
shared_zero_method_b,4,0.31731965858489275,2,,circle_exact,0.07819065172225237,0.14324059057980776,,4,372,2.7012599870983354e-11,4389.076825019135,2.7823827574034016e-15,256,"[1.430528891041412e-12, 2.7012599870983354e-11]",,2.694671210804748e-13,,success,7,4789
offsurface_zero_method_b,4,0.02365839295089245,2,,circle_exact,0.0017862748354673386,0.23427062388509512,,7,660,1.544221547525472e-07,4389.076824968516,2.1920194318599133e-15,64,"[6.037770243239298e-09, 1.544221547525472e-07]",,1.9760861663633067e-09,3.898864345588909e-14,success,10,5077
offsurface_zero_method_b,4,0.0835831156000495,2,,circle_exact,0.011127873323857784,0.23427062388509512,,7,660,1.5442215485799078e-07,4389.076824968563,5.066348281350731e-15,128,"[6.037770421817047e-09, 1.5442215485799078e-07]",,1.9760861663633067e-09,5.638320677680704e-14,success,10,5077
offsurface_zero_method_b,4,0.32169751077890396,2,,circle_exact,0.0781604303047061,0.23427062388509512,,7,660,1.544221581658103e-07,4389.076824968562,2.7858999761789386e-15,256,"[6.037770349088282e-09, 1.544221581658103e-07]",,1.9760861663633067e-09,,success,10,5077
distance_contacts,4,0.023951915092766285,2,,circle_exact,0.001820799894630909,0.2349281134083867,,7,660,5.70309178193588e-07,4389.0768249571165,2.1405956926635428e-15,64,"[2.6585650364013592e-08, 5.70309178193588e-07]",,7.202550419643857e-09,4.9081878658636725e-14,success,9,4981
distance_contacts,4,0.08354099560528994,2,,circle_exact,0.011185632087290287,0.2349281134083867,,7,660,5.703091701489711e-07,4389.076824957125,5.318466199814522e-15,128,"[2.658565130252024e-08, 5.703091701489711e-07]",,7.202550419643857e-09,5.528057921687667e-14,success,9,4981
distance_contacts,4,0.32065104879438877,2,,circle_exact,0.07797400653362274,0.2349281134083867,,7,660,5.703091783556579e-07,4389.076824957128,2.7305110412734145e-15,256,"[2.658565006641263e-08, 5.703091783556579e-07]",,7.202550419643857e-09,,success,9,4981
distance_tangent_jet,4,0.023689325898885727,2,,circle_exact,0.0018014675006270409,0.23784173093736172,,7,660,1.4919566618310246e-07,4389.0768250248175,2.15665762418473e-15,64,"[7.183893330032133e-09, 1.4919566618310246e-07]",,1.8609533351287847e-09,3.658132987381069e-14,success,9,4981
distance_tangent_jet,4,0.08137186337262392,2,,circle_exact,0.011079271323978901,0.23784173093736172,,7,660,1.49195680431921e-07,4389.076825024801,4.829918877668026e-15,128,"[7.183892613174589e-09, 1.49195680431921e-07]",,1.8609533351287847e-09,5.691496000832455e-14,success,9,4981
distance_tangent_jet,4,0.3215930303558707,2,,circle_exact,0.07739752437919378,0.23784173093736172,,7,660,1.4919567369454712e-07,4389.076825024791,2.7555954804927396e-15,256,"[7.183893033721185e-09, 1.4919567369454712e-07]",,1.8609533351287847e-09,,success,9,4981
projected_tangent_jet,4,0.023616685532033443,2,,circle_exact,0.0018105320632457733,0.24229093827307224,,8,756,1.4919555623104037e-07,4389.07682502479,2.083568096630986e-15,64,"[7.183881819500346e-09, 1.4919555623104037e-07]",,1.8609521197640908e-09,3.791457409131245e-14,success,11,5173
